,Time Period,File Start Date,Total Time Difference (Minutes),Datetime
363,14:00 - 15:00,2022-01-08,46.416666666666664,2022-01-08 14:00:00
110,08:00 - 09:00,2022-01-10,31.983333333333334,2022-01-10 08:00:00
405,15:00 - 16:00,2022-01-13,29.533333333333335,2022-01-13 15:00:00
490,16:00 - 17:00,2022-01-13,13.816666666666666,2022-01-13 16:00:00
679,17:00 - 18:00,2022-01-18,3.3,2022-01-18 17:00:00
884,18:00 - 19:00,2022-01-18,30.0,2022-01-18 18:00:00
1028,19:00 - 20:00,2022-01-18,53.233333333333334,2022-01-18 19:00:00
491,16:00 - 17:00,2022-01-19,55.883333333333326,2022-01-19 16:00:00
680,17:00 - 18:00,2022-01-19,108.38333333333333,2022-01-19 17:00:00
885,18:00 - 19:00,2022-01-19,47.983333333333334,2022-01-19 18:00:00
1046,20:00 - 21:00,2022-01-19,7.216666666666667,2022-01-19 20:00:00
1052,21:00 - 22:00,2022-01-19,59.983333333333334,2022-01-19 21:00:00
1053,22:00 - 23:00,2022-01-19,17.883333333333333,2022-01-19 22:00:00
681,17:00 - 18:00,2022-01-25,23.633333333333333,2022-01-25 17:00:00
886,18:00 - 19:00,2022-01-25,59.983333333333334,2022-01-25 18:00:00
1029,19:00 - 20:00,2022-01-25,8.45,2022-01-25 19:00:00
682,17:00 - 18:00,2022-01-28,19.466666666666665,2022-01-28 17:00:00
887,18:00 - 19:00,2022-01-28,17.266666666666666,2022-01-28 18:00:00
492,16:00 - 17:00,2022-01-31,34.166666666666664,2022-01-31 16:00:00
683,17:00 - 18:00,2022-01-31,2.2,2022-01-31 17:00:00
493,16:00 - 17:00,2022-02-02,1.4333333333333333,2022-02-02 16:00:00
684,17:00 - 18:00,2022-02-02,7.3500000000000005,2022-02-02 17:00:00
494,16:00 - 17:00,2022-02-03,9.916666666666666,2022-02-03 16:00:00
685,17:00 - 18:00,2022-02-03,15.683333333333334,2022-02-03 17:00:00
686,17:00 - 18:00,2022-02-04,11.899999999999999,2022-02-04 17:00:00
495,16:00 - 17:00,2022-02-08,16.416666666666668,2022-02-08 16:00:00
687,17:00 - 18:00,2022-02-08,76.05,2022-02-08 17:00:00
888,18:00 - 19:00,2022-02-08,1.4666666666666666,2022-02-08 18:00:00
496,16:00 - 17:00,2022-02-11,19.833333333333332,2022-02-11 16:00:00
688,17:00 - 18:00,2022-02-11,43.983333333333334,2022-02-11 17:00:00
689,17:00 - 18:00,2022-02-14,13.766666666666667,2022-02-14 17:00:00
497,16:00 - 17:00,2022-02-15,11.833333333333334,2022-02-15 16:00:00
690,17:00 - 18:00,2022-02-15,71.5,2022-02-15 17:00:00
889,18:00 - 19:00,2022-02-15,22.783333333333335,2022-02-15 18:00:00
6,07:00 - 08:00,2022-02-16,6.016666666666667,2022-02-16 07:00:00
498,16:00 - 17:00,2022-02-16,37.2,2022-02-16 16:00:00
691,17:00 - 18:00,2022-02-16,109.21666666666667,2022-02-16 17:00:00
890,18:00 - 19:00,2022-02-16,57.38333333333333,2022-02-16 18:00:00
499,16:00 - 17:00,2022-02-17,31.4,2022-02-17 16:00:00
692,17:00 - 18:00,2022-02-17,16.433333333333334,2022-02-17 17:00:00
891,18:00 - 19:00,2022-02-17,4.433333333333334,2022-02-17 18:00:00
364,14:00 - 15:00,2022-02-18,2.4833333333333334,2022-02-18 14:00:00
693,17:00 - 18:00,2022-02-18,12.983333333333334,2022-02-18 17:00:00
694,17:00 - 18:00,2022-02-21,16.166666666666668,2022-02-21 17:00:00
111,08:00 - 09:00,2022-02-22,10.433333333333334,2022-02-22 08:00:00
222,09:00 - 10:00,2022-02-22,59.983333333333334,2022-02-22 09:00:00
291,10:00 - 11:00,2022-02-22,16.75,2022-02-22 10:00:00
500,16:00 - 17:00,2022-02-22,20.266666666666666,2022-02-22 16:00:00
695,17:00 - 18:00,2022-02-22,157.38333333333333,2022-02-22 17:00:00
892,18:00 - 19:00,2022-02-22,89.11666666666667,2022-02-22 18:00:00
501,16:00 - 17:00,2022-02-23,8.233333333333334,2022-02-23 16:00:00
696,17:00 - 18:00,2022-02-23,43.41666666666667,2022-02-23 17:00:00
502,16:00 - 17:00,2022-02-24,16.416666666666668,2022-02-24 16:00:00
697,17:00 - 18:00,2022-02-24,31.966666666666665,2022-02-24 17:00:00
893,18:00 - 19:00,2022-02-24,1.4333333333333333,2022-02-24 18:00:00
336,13:00 - 14:00,2022-02-25,85.68333333333334,2022-02-25 13:00:00
365,14:00 - 15:00,2022-02-25,78.9,2022-02-25 14:00:00
406,15:00 - 16:00,2022-02-25,71.23333333333333,2022-02-25 15:00:00
503,16:00 - 17:00,2022-02-25,54.7,2022-02-25 16:00:00
698,17:00 - 18:00,2022-02-25,65.28333333333333,2022-02-25 17:00:00
894,18:00 - 19:00,2022-02-25,28.35,2022-02-25 18:00:00
311,11:00 - 12:00,2022-03-02,29.5,2022-03-02 11:00:00
321,12:00 - 13:00,2022-03-02,36.13333333333333,2022-03-02 12:00:00
504,16:00 - 17:00,2022-03-02,39.83333333333333,2022-03-02 16:00:00
699,17:00 - 18:00,2022-03-02,31.083333333333336,2022-03-02 17:00:00
1030,19:00 - 20:00,2022-03-02,33.483333333333334,2022-03-02 19:00:00
1047,20:00 - 21:00,2022-03-02,28.383333333333333,2022-03-02 20:00:00
407,15:00 - 16:00,2022-03-03,36.45,2022-03-03 15:00:00
505,16:00 - 17:00,2022-03-03,59.983333333333334,2022-03-03 16:00:00
700,17:00 - 18:00,2022-03-03,101.15,2022-03-03 17:00:00
895,18:00 - 19:00,2022-03-03,12.466666666666667,2022-03-03 18:00:00
701,17:00 - 18:00,2022-03-04,2.45,2022-03-04 17:00:00
366,14:00 - 15:00,2022-03-06,1.4666666666666666,2022-03-06 14:00:00
408,15:00 - 16:00,2022-03-06,36.11666666666667,2022-03-06 15:00:00
506,16:00 - 17:00,2022-03-08,65.1,2022-03-08 16:00:00
702,17:00 - 18:00,2022-03-08,99.53333333333333,2022-03-08 17:00:00
896,18:00 - 19:00,2022-03-08,8.016666666666667,2022-03-08 18:00:00
409,15:00 - 16:00,2022-03-09,64.8,2022-03-09 15:00:00
507,16:00 - 17:00,2022-03-09,43.199999999999996,2022-03-09 16:00:00
703,17:00 - 18:00,2022-03-09,65.38333333333333,2022-03-09 17:00:00
897,18:00 - 19:00,2022-03-09,10.033333333333333,2022-03-09 18:00:00
508,16:00 - 17:00,2022-03-10,29.683333333333334,2022-03-10 16:00:00
704,17:00 - 18:00,2022-03-10,64.66666666666667,2022-03-10 17:00:00
898,18:00 - 19:00,2022-03-10,1.4666666666666666,2022-03-10 18:00:00
509,16:00 - 17:00,2022-03-11,9.35,2022-03-11 16:00:00
705,17:00 - 18:00,2022-03-11,5.866666666666667,2022-03-11 17:00:00
706,17:00 - 18:00,2022-03-14,10.733333333333333,2022-03-14 17:00:00
707,17:00 - 18:00,2022-03-15,16.933333333333334,2022-03-15 17:00:00
223,09:00 - 10:00,2022-03-16,1.5,2022-03-16 09:00:00
708,17:00 - 18:00,2022-03-16,18.21666666666667,2022-03-16 17:00:00
112,08:00 - 09:00,2022-03-17,10.45,2022-03-17 08:00:00
510,16:00 - 17:00,2022-03-17,19.633333333333333,2022-03-17 16:00:00
709,17:00 - 18:00,2022-03-17,95.2,2022-03-17 17:00:00
899,18:00 - 19:00,2022-03-17,70.0,2022-03-17 18:00:00
367,14:00 - 15:00,2022-03-18,1.45,2022-03-18 14:00:00
410,15:00 - 16:00,2022-03-18,51.28333333333334,2022-03-18 15:00:00
511,16:00 - 17:00,2022-03-18,57.6,2022-03-18 16:00:00
710,17:00 - 18:00,2022-03-18,46.88333333333333,2022-03-18 17:00:00
7,07:00 - 08:00,2022-03-21,29.9,2022-03-21 07:00:00
113,08:00 - 09:00,2022-03-21,53.3,2022-03-21 08:00:00
224,09:00 - 10:00,2022-03-21,6.7,2022-03-21 09:00:00
711,17:00 - 18:00,2022-03-21,28.416666666666668,2022-03-21 17:00:00
8,07:00 - 08:00,2022-03-22,11.433333333333334,2022-03-22 07:00:00
114,08:00 - 09:00,2022-03-22,25.85,2022-03-22 08:00:00
512,16:00 - 17:00,2022-03-22,49.0,2022-03-22 16:00:00
712,17:00 - 18:00,2022-03-22,142.58333333333334,2022-03-22 17:00:00
900,18:00 - 19:00,2022-03-22,23.883333333333333,2022-03-22 18:00:00
411,15:00 - 16:00,2022-03-23,54.416666666666664,2022-03-23 15:00:00
513,16:00 - 17:00,2022-03-23,77.36666666666667,2022-03-23 16:00:00
713,17:00 - 18:00,2022-03-23,128.25,2022-03-23 17:00:00
901,18:00 - 19:00,2022-03-23,54.166666666666664,2022-03-23 18:00:00
115,08:00 - 09:00,2022-03-24,18.483333333333334,2022-03-24 08:00:00
514,16:00 - 17:00,2022-03-24,52.45,2022-03-24 16:00:00
714,17:00 - 18:00,2022-03-24,144.13333333333333,2022-03-24 17:00:00
902,18:00 - 19:00,2022-03-24,34.083333333333336,2022-03-24 18:00:00
412,15:00 - 16:00,2022-03-25,28.016666666666666,2022-03-25 15:00:00
515,16:00 - 17:00,2022-03-25,73.85,2022-03-25 16:00:00
715,17:00 - 18:00,2022-03-25,30.799999999999997,2022-03-25 17:00:00
716,17:00 - 18:00,2022-03-28,39.983333333333334,2022-03-28 17:00:00
9,07:00 - 08:00,2022-03-29,11.116666666666667,2022-03-29 07:00:00
116,08:00 - 09:00,2022-03-29,33.85,2022-03-29 08:00:00
516,16:00 - 17:00,2022-03-29,27.016666666666666,2022-03-29 16:00:00
717,17:00 - 18:00,2022-03-29,89.71666666666667,2022-03-29 17:00:00
517,16:00 - 17:00,2022-03-30,17.316666666666666,2022-03-30 16:00:00
718,17:00 - 18:00,2022-03-30,98.93333333333334,2022-03-30 17:00:00
10,07:00 - 08:00,2022-03-31,44.983333333333334,2022-03-31 07:00:00
117,08:00 - 09:00,2022-03-31,178.93333333333334,2022-03-31 08:00:00
225,09:00 - 10:00,2022-03-31,39.05,2022-03-31 09:00:00
413,15:00 - 16:00,2022-03-31,6.466666666666667,2022-03-31 15:00:00
518,16:00 - 17:00,2022-03-31,87.71666666666667,2022-03-31 16:00:00
719,17:00 - 18:00,2022-03-31,155.63333333333333,2022-03-31 17:00:00
903,18:00 - 19:00,2022-03-31,40.36666666666667,2022-03-31 18:00:00
1,06:00 - 07:00,2022-04-01,1.6166666666666667,2022-04-01 06:00:00
118,08:00 - 09:00,2022-04-04,4.533333333333333,2022-04-04 08:00:00
519,16:00 - 17:00,2022-04-04,31.733333333333334,2022-04-04 16:00:00
720,17:00 - 18:00,2022-04-04,106.61666666666667,2022-04-04 17:00:00
904,18:00 - 19:00,2022-04-04,17.483333333333334,2022-04-04 18:00:00
11,07:00 - 08:00,2022-04-05,29.5,2022-04-05 07:00:00
119,08:00 - 09:00,2022-04-05,178.35,2022-04-05 08:00:00
226,09:00 - 10:00,2022-04-05,73.98333333333333,2022-04-05 09:00:00
520,16:00 - 17:00,2022-04-05,87.16666666666667,2022-04-05 16:00:00
721,17:00 - 18:00,2022-04-05,192.15,2022-04-05 17:00:00
905,18:00 - 19:00,2022-04-05,60.85,2022-04-05 18:00:00
722,17:00 - 18:00,2022-04-06,130.81666666666666,2022-04-06 17:00:00
906,18:00 - 19:00,2022-04-06,40.233333333333334,2022-04-06 18:00:00
12,07:00 - 08:00,2022-04-07,28.1,2022-04-07 07:00:00
120,08:00 - 09:00,2022-04-07,202.1,2022-04-07 08:00:00
227,09:00 - 10:00,2022-04-07,138.38333333333333,2022-04-07 09:00:00
292,10:00 - 11:00,2022-04-07,12.100000000000001,2022-04-07 10:00:00
521,16:00 - 17:00,2022-04-07,34.03333333333333,2022-04-07 16:00:00
723,17:00 - 18:00,2022-04-07,80.36666666666666,2022-04-07 17:00:00
414,15:00 - 16:00,2022-04-08,9.083333333333334,2022-04-08 15:00:00
522,16:00 - 17:00,2022-04-08,31.7,2022-04-08 16:00:00
724,17:00 - 18:00,2022-04-08,27.616666666666667,2022-04-08 17:00:00
907,18:00 - 19:00,2022-04-08,1.0,2022-04-08 18:00:00
13,07:00 - 08:00,2022-04-11,45.583333333333336,2022-04-11 07:00:00
121,08:00 - 09:00,2022-04-11,80.31666666666666,2022-04-11 08:00:00
228,09:00 - 10:00,2022-04-11,43.55,2022-04-11 09:00:00
523,16:00 - 17:00,2022-04-11,22.0,2022-04-11 16:00:00
725,17:00 - 18:00,2022-04-11,97.8,2022-04-11 17:00:00
908,18:00 - 19:00,2022-04-11,13.533333333333333,2022-04-11 18:00:00
14,07:00 - 08:00,2022-04-12,10.649999999999999,2022-04-12 07:00:00
122,08:00 - 09:00,2022-04-12,108.45,2022-04-12 08:00:00
229,09:00 - 10:00,2022-04-12,17.0,2022-04-12 09:00:00
415,15:00 - 16:00,2022-04-12,2.5,2022-04-12 15:00:00
524,16:00 - 17:00,2022-04-12,122.81666666666666,2022-04-12 16:00:00
726,17:00 - 18:00,2022-04-12,204.11666666666667,2022-04-12 17:00:00
909,18:00 - 19:00,2022-04-12,66.83333333333333,2022-04-12 18:00:00
525,16:00 - 17:00,2022-04-13,72.78333333333333,2022-04-13 16:00:00
727,17:00 - 18:00,2022-04-13,149.81666666666666,2022-04-13 17:00:00
910,18:00 - 19:00,2022-04-13,38.18333333333334,2022-04-13 18:00:00
15,07:00 - 08:00,2022-04-14,44.2,2022-04-14 07:00:00
123,08:00 - 09:00,2022-04-14,167.86666666666667,2022-04-14 08:00:00
230,09:00 - 10:00,2022-04-14,41.38333333333333,2022-04-14 09:00:00
368,14:00 - 15:00,2022-04-14,40.516666666666666,2022-04-14 14:00:00
416,15:00 - 16:00,2022-04-14,59.983333333333334,2022-04-14 15:00:00
526,16:00 - 17:00,2022-04-14,72.9,2022-04-14 16:00:00
728,17:00 - 18:00,2022-04-14,91.93333333333334,2022-04-14 17:00:00
911,18:00 - 19:00,2022-04-14,39.66666666666667,2022-04-14 18:00:00
417,15:00 - 16:00,2022-04-15,38.78333333333333,2022-04-15 15:00:00
527,16:00 - 17:00,2022-04-15,59.166666666666664,2022-04-15 16:00:00
729,17:00 - 18:00,2022-04-15,9.066666666666666,2022-04-15 17:00:00
231,09:00 - 10:00,2022-04-16,8.55,2022-04-16 09:00:00
293,10:00 - 11:00,2022-04-16,33.3,2022-04-16 10:00:00
16,07:00 - 08:00,2022-04-19,12.083333333333334,2022-04-19 07:00:00
124,08:00 - 09:00,2022-04-19,42.81666666666666,2022-04-19 08:00:00
730,17:00 - 18:00,2022-04-19,71.11666666666667,2022-04-19 17:00:00
912,18:00 - 19:00,2022-04-19,9.533333333333333,2022-04-19 18:00:00
17,07:00 - 08:00,2022-04-20,20.566666666666666,2022-04-20 07:00:00
125,08:00 - 09:00,2022-04-20,19.333333333333332,2022-04-20 08:00:00
418,15:00 - 16:00,2022-04-20,22.533333333333335,2022-04-20 15:00:00
528,16:00 - 17:00,2022-04-20,118.35,2022-04-20 16:00:00
731,17:00 - 18:00,2022-04-20,185.03333333333333,2022-04-20 17:00:00
913,18:00 - 19:00,2022-04-20,51.28333333333333,2022-04-20 18:00:00
18,07:00 - 08:00,2022-04-21,17.7,2022-04-21 07:00:00
126,08:00 - 09:00,2022-04-21,134.61666666666667,2022-04-21 08:00:00
232,09:00 - 10:00,2022-04-21,24.71666666666667,2022-04-21 09:00:00
369,14:00 - 15:00,2022-04-21,8.516666666666667,2022-04-21 14:00:00
419,15:00 - 16:00,2022-04-21,9.366666666666667,2022-04-21 15:00:00
529,16:00 - 17:00,2022-04-21,102.31666666666666,2022-04-21 16:00:00
732,17:00 - 18:00,2022-04-21,195.63333333333333,2022-04-21 17:00:00
914,18:00 - 19:00,2022-04-21,67.43333333333334,2022-04-21 18:00:00
420,15:00 - 16:00,2022-04-22,0.48333333333333334,2022-04-22 15:00:00
530,16:00 - 17:00,2022-04-22,67.68333333333334,2022-04-22 16:00:00
733,17:00 - 18:00,2022-04-22,44.66666666666667,2022-04-22 17:00:00
531,16:00 - 17:00,2022-04-25,87.5,2022-04-25 16:00:00
734,17:00 - 18:00,2022-04-25,109.28333333333333,2022-04-25 17:00:00
915,18:00 - 19:00,2022-04-25,9.616666666666667,2022-04-25 18:00:00
19,07:00 - 08:00,2022-04-26,7.566666666666666,2022-04-26 07:00:00
127,08:00 - 09:00,2022-04-26,12.2,2022-04-26 08:00:00
294,10:00 - 11:00,2022-04-26,5.1,2022-04-26 10:00:00
421,15:00 - 16:00,2022-04-26,3.5166666666666666,2022-04-26 15:00:00
532,16:00 - 17:00,2022-04-26,51.333333333333336,2022-04-26 16:00:00
735,17:00 - 18:00,2022-04-26,96.95,2022-04-26 17:00:00
916,18:00 - 19:00,2022-04-26,22.65,2022-04-26 18:00:00
533,16:00 - 17:00,2022-04-28,64.81666666666666,2022-04-28 16:00:00
736,17:00 - 18:00,2022-04-28,65.3,2022-04-28 17:00:00
917,18:00 - 19:00,2022-04-28,8.0,2022-04-28 18:00:00
128,08:00 - 09:00,2022-05-03,20.116666666666667,2022-05-03 08:00:00
233,09:00 - 10:00,2022-05-03,41.86666666666667,2022-05-03 09:00:00
534,16:00 - 17:00,2022-05-03,36.13333333333333,2022-05-03 16:00:00
737,17:00 - 18:00,2022-05-03,16.25,2022-05-03 17:00:00
422,15:00 - 16:00,2022-05-04,1.55,2022-05-04 15:00:00
535,16:00 - 17:00,2022-05-04,50.16666666666667,2022-05-04 16:00:00
738,17:00 - 18:00,2022-05-04,80.25,2022-05-04 17:00:00
536,16:00 - 17:00,2022-05-05,18.133333333333333,2022-05-05 16:00:00
337,13:00 - 14:00,2022-05-06,0.5333333333333333,2022-05-06 13:00:00
370,14:00 - 15:00,2022-05-06,35.733333333333334,2022-05-06 14:00:00
423,15:00 - 16:00,2022-05-06,56.81666666666667,2022-05-06 15:00:00
537,16:00 - 17:00,2022-05-06,55.266666666666666,2022-05-06 16:00:00
739,17:00 - 18:00,2022-05-06,77.61666666666666,2022-05-06 17:00:00
918,18:00 - 19:00,2022-05-06,81.96666666666667,2022-05-06 18:00:00
1031,19:00 - 20:00,2022-05-06,4.0,2022-05-06 19:00:00
20,07:00 - 08:00,2022-05-09,18.766666666666666,2022-05-09 07:00:00
129,08:00 - 09:00,2022-05-09,32.35,2022-05-09 08:00:00
538,16:00 - 17:00,2022-05-09,20.71666666666667,2022-05-09 16:00:00
740,17:00 - 18:00,2022-05-09,62.166666666666664,2022-05-09 17:00:00
919,18:00 - 19:00,2022-05-09,4.066666666666666,2022-05-09 18:00:00
21,07:00 - 08:00,2022-05-10,31.866666666666667,2022-05-10 07:00:00
130,08:00 - 09:00,2022-05-10,156.1,2022-05-10 08:00:00
234,09:00 - 10:00,2022-05-10,16.0,2022-05-10 09:00:00
539,16:00 - 17:00,2022-05-10,25.650000000000002,2022-05-10 16:00:00
741,17:00 - 18:00,2022-05-10,122.6,2022-05-10 17:00:00
920,18:00 - 19:00,2022-05-10,23.116666666666667,2022-05-10 18:00:00
22,07:00 - 08:00,2022-05-11,8.6,2022-05-11 07:00:00
131,08:00 - 09:00,2022-05-11,1.5666666666666667,2022-05-11 08:00:00
322,12:00 - 13:00,2022-05-11,40.55,2022-05-11 12:00:00
338,13:00 - 14:00,2022-05-11,7.316666666666666,2022-05-11 13:00:00
540,16:00 - 17:00,2022-05-11,24.133333333333333,2022-05-11 16:00:00
742,17:00 - 18:00,2022-05-11,98.9,2022-05-11 17:00:00
921,18:00 - 19:00,2022-05-11,29.56666666666667,2022-05-11 18:00:00
23,07:00 - 08:00,2022-05-12,23.283333333333335,2022-05-12 07:00:00
132,08:00 - 09:00,2022-05-12,105.14999999999999,2022-05-12 08:00:00
235,09:00 - 10:00,2022-05-12,37.900000000000006,2022-05-12 09:00:00
371,14:00 - 15:00,2022-05-12,35.53333333333333,2022-05-12 14:00:00
424,15:00 - 16:00,2022-05-12,20.833333333333332,2022-05-12 15:00:00
541,16:00 - 17:00,2022-05-12,33.38333333333333,2022-05-12 16:00:00
743,17:00 - 18:00,2022-05-12,128.53333333333333,2022-05-12 17:00:00
922,18:00 - 19:00,2022-05-12,42.88333333333333,2022-05-12 18:00:00
339,13:00 - 14:00,2022-05-13,17.666666666666668,2022-05-13 13:00:00
372,14:00 - 15:00,2022-05-13,10.55,2022-05-13 14:00:00
542,16:00 - 17:00,2022-05-13,24.200000000000003,2022-05-13 16:00:00
